日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-17,5703,5707,5707,5703,3,171120,0.09,25.07,1144,0.00
2023-01-18,5738,5753,5760,5720,44,2525600,0.70,0.86,49,0.00
2023-01-19,5755,5734,5755,5730,18,1032660,0.44,-0.10,-6,0.00
2023-01-20,5738,5782,5782,5738,21,1212120,0.77,0.78,45,0.00
2023-01-30,5899,5879,5900,5876,199,11713140,0.42,1.85,107,0.00
2023-01-31,5888,5892,5912,5866,333,19630350,0.78,0.10,6,0.00
2023-02-01,5895,5943,5957,5895,304,18060640,1.05,0.81,48,0.00
2023-02-02,5938,5904,5938,5904,53,3140780,0.57,-0.62,-37,0.00
2023-02-03,5940,5952,5957,5934,141,8390910,0.39,0.44,26,0.00
2023-02-06,5940,5920,5940,5901,237,14035140,0.66,-0.52,-31,0.00
2023-02-07,5918,5908,5919,5889,111,6553440,0.51,-0.24,-14,0.00
2023-02-08,5911,5925,5941,5911,366,21685500,0.51,0.36,21,0.00
2023-02-09,5939,5945,5954,5929,273,16218930,0.42,0.34,20,0.00
2023-02-10,5937,5940,5960,5927,396,23546160,0.56,-0.02,-1,0.00
2023-02-13,5926,5918,5943,5916,241,14300940,0.45,-0.47,-28,0.00
2023-02-14,5914,5907,5914,5894,172,10156600,0.34,-0.46,-27,0.00
2023-02-15,5924,5895,5931,5895,120,7100400,0.61,-0.17,-10,0.00
2023-02-16,5891,5897,5910,5874,158,9312520,0.61,-0.34,-20,0.00
2023-02-17,5911,5888,5917,5887,145,8549200,0.51,-0.10,-6,0.00
2023-02-20,5910,5930,5933,5900,199,11780800,0.56,0.58,34,0.00
2023-02-21,5923,5928,5928,5916,78,4619940,0.20,0.14,8,0.00
2023-02-22,5933,5950,5960,5926,313,18617240,0.57,0.46,27,0.00
2023-02-23,5956,5935,5960,5926,204,12135960,0.57,-0.22,-13,0.00
2023-02-24,5934,5950,5965,5934,150,8935500,0.52,0.02,1,0.00
2023-02-27,5931,5898,5931,5888,241,14231050,0.72,-0.99,-59,0.00
2023-02-28,5910,5926,5938,5901,182,10785320,0.63,0.36,21,0.00
2023-03-01,5922,5917,5922,5900,323,19079610,0.37,-0.15,-9,0.00
2023-03-02,5930,5952,5952,5929,179,10641550,0.39,0.76,45,0.00
2023-03-03,5940,5969,5969,5933,357,21227220,0.61,0.40,24,0.00
2023-03-06,5980,6014,6023,5970,704,42289280,0.89,1.14,68,0.00
2023-03-07,6011,6025,6039,6002,875,52675000,0.62,0.30,18,0.00
2023-03-08,6034,5988,6035,5975,1458,87465420,1.00,-0.53,-32,0.00
2023-03-09,5988,5981,6004,5972,1635,97854750,0.53,-0.30,-18,0.00
2023-03-10,5983,6065,6091,5983,1595,96529400,1.80,1.34,80,0.00
2023-03-13,6052,6059,6079,6013,1373,83066500,1.09,0.12,7,0.00
2023-03-14,6029,6006,6056,5979,2166,130436520,1.27,-0.73,-44,0.00
2023-03-15,6017,5986,6038,5985,1221,73357680,0.88,-0.60,-36,0.00
2023-03-16,5978,5905,5978,5888,1929,114100350,1.50,-1.71,-103,0.00
2023-03-17,5923,5955,5967,5897,1411,83855730,1.18,0.68,40,0.00
2023-03-20,5943,5961,6020,5941,2932,175656120,1.33,0.30,18,0.00
2023-03-21,5946,5992,6010,5946,1245,74575500,1.07,0.02,1,0.00
2023-03-22,6014,6020,6033,6003,1336,80373760,0.50,0.50,30,0.00
2023-03-23,6054,6047,6090,6040,1470,89111400,0.83,0.52,31,0.00
2023-03-24,6050,6042,6056,6009,1847,111540330,0.78,-0.33,-20,0.00
2023-03-27,6014,6025,6040,5986,2207,132993820,0.89,-0.23,-14,0.00
2023-03-28,6027,6055,6060,6021,1392,84216000,0.65,0.48,29,0.00
2023-03-29,6060,6109,6109,6056,3373,205247050,0.88,0.98,59,0.00
2023-03-30,6096,6154,6155,6093,2195,134355950,1.02,1.13,69,0.00
2023-03-31,6201,6217,6226,6184,3954,245464320,0.69,1.57,96,0.00
2023-04-03,6215,6259,6322,6212,4209,264030570,1.77,0.82,51,0.00
2023-04-04,6260,6180,6294,6145,5927,368125968,2.38,-1.48,-93,0.00
2023-04-06,6241,6292,6300,6230,5933,371168480,1.13,1.30,81,0.00
2023-04-07,6290,6440,6443,6285,9572,611650800,2.53,2.94,184,0.00
2023-04-10,6440,6390,6484,6374,8615,553341456,1.72,0.00,0,0.00
2023-04-11,6389,6432,6453,6370,7656,491285520,1.29,0.14,9,0.00
2023-04-12,6427,6484,6510,6421,10089,652152960,1.39,1.04,67,0.00
2023-04-13,6485,6444,6487,6415,12208,788270560,1.11,-0.31,-20,0.00
2023-04-14,6474,6506,6566,6455,15081,980868240,1.72,0.76,49,0.00
2023-04-17,6509,6578,6582,6459,13466,878387184,1.89,1.14,74,0.00
2023-04-18,6574,6586,6597,6558,7453,490407408,0.60,0.97,63,0.00
2023-04-19,6577,6580,6620,6554,8238,542719440,1.00,0.00,0,0.00
2023-04-20,6611,6583,6617,6550,9356,616466848,1.02,-0.08,-5,0.00
2023-04-21,6586,6699,6763,6586,19669,1317036240,2.69,1.67,110,0.00
2023-04-24,6687,6542,6694,6538,18411,1217151216,2.33,-2.30,-154,0.00
2023-04-25,6582,6585,6668,6540,16984,1121453520,1.94,-0.39,-26,0.00
2023-04-26,6576,6720,6726,6560,27230,1810250400,2.51,1.77,117,0.00
2023-04-27,6700,6670,6714,6647,14027,936442528,1.01,0.33,22,0.00
2023-04-28,6789,6802,6809,6717,16748,1131662368,1.38,1.89,126,0.00
2023-05-04,6684,6676,6723,6618,16892,1127203168,1.55,-1.20,-81,0.00
2023-05-05,6676,6698,6730,6614,21519,1435532496,1.74,0.37,25,0.00
2023-05-08,6724,6745,6787,6705,16093,1085794704,1.23,1.11,74,0.00
2023-05-09,6727,6687,6743,6685,15704,1054680640,0.86,-0.89,-60,0.00
2023-05-10,6712,6708,6724,6665,23302,1560767968,0.88,-0.12,-8,0.00
2023-05-11,6704,6705,6727,6645,31716,2124654848,1.22,0.10,7,0.00
2023-05-12,6680,6509,6680,6503,52243,3442291264,2.64,-2.84,-190,0.00
2023-05-15,6530,6545,6563,6458,46740,3046045808,1.59,-0.67,-44,0.00
2023-05-16,6503,6527,6531,6465,32827,2133098464,1.01,0.15,10,0.00
2023-05-17,6546,6566,6579,6521,37516,2458048320,0.89,1.05,68,0.00
2023-05-18,6546,6600,6616,6545,23496,1544627040,1.08,0.73,48,0.00
2023-05-19,6570,6560,6591,6514,38856,2548176480,1.17,-0.21,-14,0.00
2023-05-22,6598,6731,6755,6587,55312,3684332320,2.56,2.64,173,0.00
2023-05-23,6725,6747,6785,6718,35110,2372031600,1.01,1.29,86,0.00
2023-05-24,6758,6667,6771,6657,40504,2719843600,1.69,-1.32,-89,0.00
2023-05-25,6659,6514,6664,6478,82816,5431073280,2.77,-2.99,-201,0.00
2023-05-26,6459,6462,6513,6341,119149,7649365760,2.62,-1.46,-96,0.00
2023-05-29,6471,6550,6594,6440,86222,5626847744,2.40,2.02,130,0.00
2023-05-30,6545,6572,6591,6505,101725,6666039296,1.32,0.70,46,0.00
2023-05-31,6600,6570,6618,6514,82872,5428115968,1.59,0.26,17,0.00
2023-06-01,6545,6650,6688,6515,128812,8477117696,2.64,1.53,100,0.00
2023-06-02,6680,6502,6692,6440,197228,12875043840,3.83,-1.20,-79,0.00
2023-06-05,6490,6466,6525,6400,141793,9161245696,1.91,-0.95,-62,0.00
2023-06-06,6448,6424,6493,6355,221327,14184847360,2.14,-0.57,-37,0.00
2023-06-07,6440,6463,6496,6420,171678,11088681984,1.19,0.84,54,0.00
2023-06-08,6472,6483,6542,6448,155410,10079892736,1.46,0.37,24,0.00
2023-06-09,6545,6629,6642,6510,241610,15905186304,2.04,2.20,143,0.00
2023-06-12,6612,6574,6629,6569,157236,10372858880,0.91,-0.14,-9,0.00
2023-06-13,6613,6596,6626,6574,136500,9004904960,0.79,-0.02,-1,0.00
2023-06-14,6583,6577,6599,6541,170029,11176006144,0.88,-0.30,-20,0.00
2023-06-15,6600,6647,6654,6589,179991,11924403712,0.99,1.13,74,0.00
2023-06-16,6670,6616,6685,6605,190814,12668141568,1.21,-0.14,-9,0.00
2023-06-19,6635,6631,6675,6607,146090,9706219520,1.02,-0.12,-8,0.00
2023-06-20,6636,6668,6668,6628,77429,5153674240,0.60,0.36,24,0.00
2023-06-21,6663,6649,6670,6625,127242,8462865408,0.68,-0.11,-7,0.00
2023-06-26,6525,6567,6584,6515,143540,9401870080,1.04,-1.26,-84,0.00
2023-06-27,6574,6421,6593,6407,211921,13707050240,2.84,-1.97,-129,0.00
2023-06-28,6374,6409,6436,6343,233655,14932891050,1.44,-0.91,-59,0.00
